Successful Clicks,Total Clicks,Accuracy,top_left,top_center,top_right,center_left,center_center,center_right,bottom_left,bottom_center,bottom_right
20,21,95.23809523809523,5,1,1,0,4,2,4,3,0
21,21,100.0,1,2,3,1,6,3,2,2,1
22,23,95.65217391304348,2,4,0,3,4,0,2,5,2
19,20,95.0,1,0,1,5,3,6,1,1,2
10,10,100.0,2,1,0,1,2,1,0,2,1
18,18,100.0,1,1,0,2,4,2,5,2,1
10,12,83.33333333333334,2,1,1,0,5,1,0,0,0
18,18,100.0,0,4,1,4,1,4,2,2,0
17,17,100.0,4,2,2,1,2,3,1,1,3
12,13,92.3076923076923,1,3,3,1,1,2,0,0,1
16,16,100.0,3,1,1,1,1,3,2,2,2
16,17,94.11764705882352,1,2,1,1,1,2,1,4,3
16,16,100.0,4,1,2,2,0,5,2,0,0
14,17,82.35294117647058,2,1,2,0,1,1,2,4,2
15,15,100.0,3,1,3,2,1,2,1,1,1
20,20,100.0,1,3,1,5,4,3,1,2,0
15,16,93.75,0,1,5,2,2,1,2,1,1
15,15,100.0,1,2,2,2,0,4,0,1,3
6,6,100.0,1,1,0,1,1,0,0,1,1
13,13,100.0,1,1,2,4,0,2,1,2,0
18,19,94.73684210526315,1,3,2,2,2,3,0,1,4
12,14,85.71428571428571,3,1,3,1,2,1,1,0,0
10,10,100.0,3,1,1,1,2,0,0,3,0
10,10,100.0,1,3,1,2,2,1,0,0,0
19,21,90.47619047619048,5,2,4,3,0,3,0,2,0
1,1,100.0,6,2,4,3,0,3,0,2,0
